symbol,dhan_security_id,name,mcap_inr,cmp
INOXINDIA,20607,INOX India,170599071744.0,1879.6
INSECTICID,14657,Insecticides,18264711168.0,627.7
INTELLECT,5926,Intellect Design Arena,100592156672.0,722.0
INTERARCH,24909,Interarch Building Solutions,30239651840.0,1803.0
IOB,9348,Indian Overseas Bank,650872750080.0,33.8
IOLCP,20413,IOL Chemicals & Pharmaceuticals,43260088320.0,147.38
IONEXCHANG,1630,Ion Exchange,52233146368.0,424.9
IPCALAB,1633,IPCA Laboratories,449157955584.0,1770.4
IPL,4934,India Pesticides,17555525632.0,152.44
IRB,15313,IRB Infrastructure Developers,241318445056.0,19.98
IRCON,4986,Ircon International,119436091392.0,126.99
IRMENERGY,19597,IRM Energy,10548230144.0,256.9
ISGEC,3329,Isgec Heavy Engineering,62819938304.0,854.35
ITCHOTELS,29251,ITC Hotels,340712456192.0,163.57
ITDC,19299,India Tourism Development Corporation,61882621952.0,721.5
ITI,1675,ITI,266902585344.0,277.2
IVALUE,759041,Ivalue Infosolutions,15495907328.0,283.65
IXIGO,24067,Le Travenues Technology (IXIGO),85211480064.0,194.25
IZMO,14174,IZMO,15890255872.0,1062.0
JAGRAN,13211,Jagran Prakashan,13616451584.0,62.56
JAGSNPHARM,4410,Jagsonpal Pharmaceuticals,15170371584.0,230.1
JAICORPLTD,5143,Jai Corp,17836572672.0,101.63
JAINREC,759244,Jain Resource Recycling,116656259072.0,338.05
JAMNAAUTO,20778,Jamna Auto Industries,52854034432.0,132.14
JARO,759951,Jaro Inst of Tech Mgmt & Research,10622974976.0,477.0
JASH,13982,Jash Engineering,31248117760.0,496.75
JAYBARMARU,1708,Jay Bharat Maruti,16562249728.0,153.0
JAYKAY,760073,Jaykay Enterprises,21041360896.0,161.5
JAYNECOIND,2331,Jayaswal Neco Industries,86380003328.0,88.96
JBMA,11655,JBM Auto,158557585408.0,670.45
JGCHEM,23056,JG Chemicals,19755653120.0,504.15
JINDALPHOT,11743,Jindal Photo,10955473920.0,1063.9
JINDALPOLY,1756,Jindal Poly Films,27837210624.0,635.75
JINDRILL,13875,Jindal Drilling & Industries,16798897152.0,579.65
JINDWORLD,20642,Jindal Worldwide,38489890816.0,38.39
JISLDVREQS,25684,Jain Irrigation Systems,16173900800.0,22.05
JKCEMENT,13270,JK Cement,436565606400.0,5650.0
JKIL,15266,J Kumar Infraprojects,36470771712.0,482.0
JKLAKSHMI,13491,JK Lakshmi Cement,70073319424.0,564.45
JKPAPER,11860,JK Paper,70859374592.0,390.8
JKTYRE,14435,JK Tyre & Industries,115733823488.0,401.45
JLHL,18553,Jupiter Life Line Hospital,107134877696.0,326.8
JMFINANCIL,13637,JM Financial,118184550400.0,123.5
JNKINDIA,23621,JNK India,25878685696.0,462.5
JPOLYINVST,31507,Jindal Poly Inv. & Fin.,10912433152.0,1038.1
JPPOWER,11763,Jaiprakash Power Ventures,116920008704.0,17.06
JSFB,22663,Jana Small Finance Bank,60072251392.0,568.25
JSL,11236,Jindal Stainless,599258693632.0,727.3
JSLL,758115,Jeena Sikho Lifecare,70186409984.0,564.65
JSWCEMENT,758460,JSW Cement,177608949760.0,132.42
JSWDULUX,1467,JSW Dulux,135782998016.0,2981.6
JSWHL,11880,JSW Holdings,123991752704.0,11172.0
JSWINFRA,19020,JSW Infrastructure,731822686208.0,316.1
JTEKTINDIA,3237,Jtekt,37384781824.0,134.77
JTLIND,7287,JTL Industries,28946530304.0,73.64
JUBLINGREA,2783,Jubilant Ingrevia,116536754176.0,738.9
JUBLPHARMA,3637,Jubilant Pharmova,155013529600.0,978.7
JUNIPER,22824,Juniper Hotels,43913072640.0,197.36
JWL,20224,Jupiter Wagons,112141991936.0,262.4
JYOTHYLAB,15146,Jyothy Laboratories,75785732096.0,206.38
JYOTICNC,21334,Jyoti CNC Automation,187123728384.0,822.8
JYOTISTRUC,1802,Jyoti Structures,13058638848.0,10.94
KABRAEXTRU,1805,Kabra Extrusiontechnik,13618421760.0,389.4
KAJARIACER,1808,Kajaria Ceramics,190048813056.0,1209.4
KALAMANDIR,18755,Sai Silks (Kalamandir),13040472064.0,88.5
KALPATARU,758558,Kalpataru,61241229312.0,297.4
KANSAINER,1196,Kansai Nerolac Paints,161755758592.0,200.0
KAPSTON,18967,Kapston Services,14067276800.0,462.25
KARURVYSYA,1838,Karur Vysya Bank,330261856256.0,341.65
KCP,1841,KCP,20969025536.0,162.65
KDDL,14908,KDDL,38628347904.0,3140.7
KEC,13260,KEC International,127576350720.0,479.25
KENNAMET,11841,Kennametal,63187439616.0,2875.0
KERNEX,13121,Kernex Microsystems,36883951616.0,2195.0
KICL,21119,Kalyani Investment Company,23531182080.0,5390.5
KIMS,4847,Krishna Institute of Medical Sciences,319650988032.0,798.85
KINGFA,18944,Kingfa Science & Technology,68509007872.0,5055.5
KIOCL,19126,KIOCL,218152271872.0,358.95
KIRIINDUS,16639,Kiri Industries,26490791936.0,406.5
KIRLFER,14466,Kirloskar Ferrous Industries,78280638464.0,474.45
KIRLOSBROS,18581,Kirloskar Brothers,147224150016.0,1854.0
KIRLOSENG,20936,Kirloskar Oil Engines,317640278016.0,2183.0
KIRLOSIND,19025,Kirloskar Industries,39620108288.0,3765.0
KIRLPNU,15180,Kirloskar Pneumatic Company,97548730368.0,1501.6
KISSHT,763294,OnEMI Technology Solutions,57890766848.0,343.6
KITEX,28899,Kitex Garments,29087100928.0,145.8
KKCL,13381,Kewal Kiran Clothing,31120717824.0,505.0
KMEW,27084,Knowledge Marine & Engineering Works,65967362048.0,2681.6
KNACK,763839,Knack Packaging,23147819008.0,189.17
KNRCON,15283,KNR Constructions,34189688832.0,121.57
KOLTEPATIL,15124,Kolte Patil Developers,34483257344.0,388.85
KOVAI,5192,Kovai Medical Center Hospital,65352658944.0,5972.5
KPEL,27079,KP Energy,21156395008.0,312.05
KPIGREEN,5108,KPI Green Energy,77319389184.0,391.15
KPIL,1814,Kalpataru Projects International,222636163072.0,1303.7
KPRMILL,14912,KPR Mill,363073929216.0,1060.0
KRISHANA,12847,Krishana Phoschem,50853199872.0,164.5
KRISHIVAL,756782,Krishival Foods,10036042752.0,391.6
KRISHNADEF,761192,Krishna Defence & Allied Industries,18150039552.0,1215.4
KROSS,25252,Kross,12780606464.0,198.12
KRSNAA,5359,Krsnaa Diagnostics,17297922048.0,533.25
KSB,1949,KSB,146749865984.0,843.2
KSCL,14972,Kaveri Seed Company,41572786176.0,814.5
KSHINTL,760433,KSH International,56088162304.0,827.8
KSL,18889,Kalyani Steels,38947262464.0,892.2
KTKBANK,8054,Karnataka Bank,105455935488.0,278.85
KUSUMGAR,764116,Kusumgar,62023655424.0,590.75
KWIL,760946,Kwality Walls,72508391424.0,30.86
LALPATHLAB,11654,Dr. Lal Path Labs,313918226432.0,1880.0
LANDMARK,13276,Landmark Cars,22710333440.0,547.7
LAOPALA,14423,La Opala RG,20692619264.0,186.42
LASERPOWER,764126,Laser Power & Infra,43283976192.0,308.36
LATENTVIEW,6818,Latent View Analytics,65853874176.0,318.25
LAXMIDENTL,29171,Laxmi Dental,11910847488.0,216.71
LEMONTREE,2606,Lemon Tree Hotels,87364550656.0,110.33
LGBBROSLTD,18321,LG Balakrishnan & Bros,49969639424.0,1566.6
LGHL,19876,Laxmi Goldrona House,10231405568.0,204.25
LINCOLN,11596,Lincoln Pharmaceuticals,11645284352.0,581.4
LINDEINDIA,1627,Linde,573493739520.0,6724.5
LLOYDSENGG,17801,Lloyds Engineering Works,128759185408.0,90.34
LLOYDSENT,25807,Lloyds Enterprises,123436990464.0,80.86
LLOYDSME,17313,Lloyds Metals & Energy,1151352045568.0,2046.2
LMW,1979,LMW,176130621440.0,16487.0
LOTUSDEV,758145,Sri Lotus Developers & Realty,92901490688.0,190.09
LTFOODS,13816,LT Foods,131244244992.0,377.95
LTTS,18564,L&T Technology Services,381337796608.0,3595.2
LUMAXIND,2018,Lumax Industries,48094081024.0,5145.0
LUMAXTECH,14014,Lumax Auto Technologies,102625050624.0,1505.7
LUXIND,11301,Lux Industries,37415182336.0,1244.2
LXCHEM,2841,Laxmi Organic Industries,55359148032.0,199.7
MACPOWER,22347,Macpower CNC Machines,13866766336.0,1386.1
MADRASFERT,4911,Madras Fertilizers,10682626048.0,66.31
MAHABANK,11377,Bank of Maharashtra,620785369088.0,80.71
MAHASTEEL,17527,Mahamaya Steel Industries,14774525952.0,899.0
MAHLIFE,8050,Mahindra Lifespaces Developers,83052273664.0,388.85
MAHLOG,385,Mahindra Logistic,40577036288.0,408.95
MAHSCOOTER,2085,Maharashtra Scooters,148079951872.0,12957.0
MAHSEAMLES,2088,Maharashtra Seamless,77954064384.0,581.75
MAITHANALL,24538,Maithan Alloys,28520585216.0,979.7
MANAKCOAT,7413,Manaksia Coated Metals & Ind,13129849856.0,123.13
MANALIPETC,13796,Manali Petrochemicals,11214349312.0,65.2
MANGLMCEM,2106,Mangalam Cement,25990447104.0,945.2
MANINDS,11884,Man Industries,39747571712.0,529.9
MANINFRA,18226,Man Infraconstruction,39256567808.0,97.25
MANYAVAR,8167,Vedant Fashions,98029174784.0,403.45
MAPMYINDIA,7227,CE Info Systems,64174481408.0,1171.9
MARATHON,18659,Marathon NextGen Realty,26377564160.0,391.1
MARINE,1328,Marine Electricals,35103223808.0,264.6
MARSONS,761386,Marsons,18887974912.0,109.75
MASFIN,199,MAS Financial Services,57185030144.0,315.15
MASTEK,2124,Mastek,58957279232.0,1901.7
MASTERTR,27047,Master Trust,10105764864.0,82.15
MAXESTATES,19646,Max Estates,63876513792.0,390.65
MAYURUNIQ,28906,Mayur Uniquoters,34223265792.0,787.6
MBAPL,12686,Madhya Bharat Agro,71306420224.0,162.75
MBEL,758150,M & B Engineering,17175896064.0,300.55
MCLOUD,29482,Magellanic Cloud,17318574080.0,29.4
MEDANTA,11956,Global Health,385584693248.0,1434.9
MEDIASSIST,21705,Medi Assist Healthcare,26145644544.0,350.0
MEDPLUS,7254,Medplus Health Services,171880087552.0,715.35
MEESHO,760229,Meesho,831317803008.0,179.8
METROBRAND,7242,Metro Brands,280960368640.0,1030.8
METROPOLIS,9581,Metropolis Healthcare,122834944000.0,592.35
MGL,17534,Mahanagar Gas,108942008320.0,1102.9
MHRIL,17333,Mahindra Holidays,43352440832.0,214.96
MIDHANI,2463,Mishra Dhatu Nigam,74261577728.0,396.4
MIDWESTLTD,759517,Midwest,44004098048.0,1216.9
MINDACORP,25897,Minda Corporation,163269869568.0,693.7
MMFL,13844,MM Forgings,26446245888.0,547.75
MMTC,17957,MMTC,91934998528.0,61.29
MOBIKWIK,28046,One Mobikwik Systems,15950976000.0,202.56
MOIL,20830,MOIL,55714250752.0,273.8
MOL,5394,Meghmani Organics,14508624896.0,57.05
MOLDTKPAC,6713,Mold-Tek Packaging,21897854976.0,659.0
MONARCH,7679,Monarch Networth Capital,30985766912.0,390.7
MONTECARLO,5938,Monte Carlo Fashions,10996287488.0,530.4
MOREPENLAB,2259,Morepen Laboratories,31638849536.0,57.74
MOSCHIP,29459,Moschip Technologies,40795602944.0,209.73
MOTISONS,20788,Motisons Jewellers,16653095936.0,14.64
MRPL,2283,Mangalore Refinery & Petroleum,287513837568.0,164.05
MSPL,11919,MSP Steel & Power,21283215360.0,37.55
MSTCLTD,9356,MSTC,42391363584.0,602.15
MTNL,2294,Mahanagar Telephone Nigam,17123400704.0,27.18
MUFIN,19783,Mufin Green Finance,25933486080.0,130.87
MUKANDLTD,11325,Mukand,20032866304.0,138.64
MUNJALAU,13511,Munjal Auto Industries,10200999936.0,102.01
MUTHOOTMF,20831,Muthoot Microfin,42575826944.0,253.78
MWL,759169,Mangalam Worldwide,10588291072.0,35.65
NACLIND,20425,NACL Industries,45394014208.0,193.79
NATCOPHARM,3918,Natco Pharma,167817003008.0,936.95
NAVA,4014,Nava,159274336256.0,562.3
NAVINFLUOR,14672,Navin Fluorine International,389803212800.0,7598.5
NAVNETEDUL,2385,Navneet Education,30826057728.0,139.35
NCC,2319,NCC,88903081984.0,141.6
NDRAUTO,22255,NDR Auto Components,19220166656.0,805.7
NELCAST,14761,Nelcast,10140331008.0,116.23
NELCO,2388,NELCO,21231380480.0,930.45
NEOGEN,9917,Neogen Chemicals,56241958912.0,2054.0
NEPHROPLUS,760346,Nephrocare Health Services,70713098240.0,703.2
NESCO,15409,Nesco,76463144960.0,1085.2
NETWEB,17433,Netweb Technologies,250669973504.0,4402.3
NETWORK18,14111,Network18 Media & Investments,45160820736.0,29.24
NEULANDLAB,2406,Neuland Laboratories,251632615424.0,19613.0
NEWGEN,1164,Newgen Software Technologies,77164847104.0,546.65
NFL,13925,National Fertilizers,35272589312.0,71.9
NH,11840,Narayana Hrudayalaya,423056965632.0,2083.0
NIACL,399,The New India Assurance Company,270898249728.0,164.38
NIBE,29487,NIBE,22066774016.0,1423.5
NIITLTD,11522,NIIT,13400267776.0,98.06
NIITMTS,17747,NIIT Learning Systems,33280811008.0,241.49
NILKAMAL,2421,Nilkamal,28489285632.0,1902.8
NIRLON,2433,Nirlon,55873183744.0,620.0
NITCO,13300,Nitco,25023686656.0,104.02
NITINSPIN,13175,Nitin Spinners,30201384960.0,537.2
NITTAGELA,762824,Nitta Gelatin,16791906304.0,1849.5
NIVABUPA,27097,Niva Bupa Health Insurance Company,158386864128.0,85.65
NOCIL,2442,NOCIL,27440525312.0,164.29
NORTHARC,25426,Northern Arc Capital,46382604288.0,286.95
NPST,756324,Network People Services Tech,32042164224.0,1535.8
NRBBEARING,7553,NRB Bearings,41298718720.0,426.1
NSIL,11239,Nalwa Sons Investments,28189831168.0,5488.5
NSLNISP,14180,NMDC Steel,126514249728.0,43.17
NTPCGREEN,27176,NTPC Green Energy,770756378624.0,91.47
NUVOCO,5426,Nuvoco Vistas Corporation,125933264896.0,352.6
OLAELEC,24777,Ola Electric Mobility,170428514304.0,38.57
OMAXE,14853,Omaxe,15676730368.0,85.36
OMNI,760865,Omnitech Engineering,74106863616.0,599.25
ONEPOINT,9939,One Point One Solutions,14765464576.0,56.25
ONESOURCE,29224,Onesource Specialty Pharma,199972995072.0,1743.9
OPTIEMUS,21469,Optiemus Infracom,56145244160.0,629.0
ORCHPHARMA,926,Orchid Pharma,50891550720.0,1003.4
ORIENTHOT,2493,Oriental Hotels,24193046528.0,135.46
ORIENTTECH,24961,Orient Technologies,12298888192.0,268.5
ORISSAMINE,19931,Orissa Minerals Development Comp,24096600064.0,4016.1
ORKLAINDIA,759569,Orkla,77652344832.0,566.85
OSWALPUMPS,756802,Oswal Pumps,39514095616.0,346.6
PACEDIGITK,759342,Pace Digitek,42492493824.0,196.86
PAISALO,25468,Paisalo Digital,64767049728.0,71.21
PANACEABIO,4055,Panacea Biotec,25823313920.0,421.6
PANAMAPET,25392,Panama Petrochem,27119280128.0,448.3
PARACABLES,13951,Paramount Communications,20766617600.0,63.46
PARADEEP,9741,Paradeep Phosphates,163293855744.0,157.29
PARAGMILK,17130,Parag Milk Foods,27437172736.0,216.88
PARAS,5911,Paras Defence Space Tech,97534844928.0,1210.3
PARKHOSPS,760351,Park Medi World,120659894272.0,279.35
PARKHOTELS,22649,Apeejay Surrendra Park Hotels,25905766400.0,121.41
PASHUPATI,757955,Pashupati Cotspin,13732079616.0,87.0
PATELENG,11699,Patel Engineering,26445271040.0,27.69
PAUSHAKLTD,759969,Paushak,14472375296.0,586.95
PCBL,2649,PCBL Chemical,140761235456.0,357.75
PCJEWELLER,29124,PC Jeweller,88657182720.0,9.13
PDSL,5264,PDS,49571844096.0,349.7
PENIND,20621,Pennar Industries,22699681792.0,167.53
PFIZER,2643,Pfizer,217585369088.0,4756.2
PFOCUS,13496,Prime Focus,237986578432.0,306.49
PFS,22602,PTC India Financial Services,17894012928.0,27.86
PGHH,2535,P&G Hygiene and Health Care,279843995648.0,8621.0
PGHL,940,Procter & Gamble Health,109647216640.0,6605.5
PGIL,14260,Pearl Global Industries,95093096448.0,2059.0
PICCADIL,757754,Piccadily Agro Industries,72384446464.0,734.35
PILANIINVS,11445,Pilani Investment & Industries,47754612736.0,4313.0
PINELABS,759820,Pine Labs,167805566976.0,145.43
PIRAMALFIN,759551,Piramal Finance,461863649280.0,2043.6
PITTIENG,14134,Pitti Engineering,35099283456.0,950.85
PLATIND,22930,Platinum Industries,13496504320.0,238.24
PNCINFRA,9385,PNC Infratech,61412913152.0,239.39
PNGJL,25312,PN Gadgil Jewellers,90938155008.0,670.1
PNGSREVA,760242,PNGS Reva Diamond Jewellery,14015447040.0,442.15
POCL,14385,Pondy Oxides & Chemical,40541863936.0,531.5
POKARNA,17651,Pokarna,28576387072.0,921.7
POLYMED,25718,Poly Medicure,170282598400.0,1678.0
POLYPLEX,2687,Polyplex Corporation,35106193408.0,1118.3
POONAWALLA,11403,Poonawalla Fincorp,419495542784.0,479.05
POWERICA,761680,Powerica,67831808000.0,536.0
PPLPHARMA,11571,Piramal Pharma,259583770624.0,195.64
PRAJIND,2705,Praj Industries,57055580160.0,310.4
PRAKASH,2708,Prakash Industries,22644897792.0,126.45
PRECAM,12603,Precision Camshafts,13287568384.0,139.89
PRECWIRE,2717,Precision Wires India,65957113856.0,360.8
PREMEXPLN,17397,Premier Explosives,35675021312.0,663.3
PRICOLLTD,19631,Pricol,80801341440.0,662.95
PRINCEPIPE,16045,Prince Pipes & Fittings,29414877184.0,266.0
PROTEAN,29472,Protean e-Gov Technologies,25558853632.0,629.2
PRSMJOHNSN,2739,Prism Johnson,54322241536.0,107.92
PRUDENT,9553,Prudent Corporate Advisory Services,130431041536.0,3150.0
PSB,21001,Punjab & Sind Bank,168165376000.0,23.7
PSPPROJECT,20877,PSP Projects,41013395456.0,1034.6
PTC,11355,PTC India,49679077376.0,167.83
PTCIL,16682,PTC Industries,268996313088.0,17942.0
PUNJABCHEM,4344,Punjab Chemicals & Crop Protection,14040202240.0,1145.0
PURVA,14922,Puravankara,50913665024.0,214.69
PVRINOX,13147,PVR Inox,111947956224.0,1140.0
PWL,759723,Physicswallah,362637590528.0,126.81
QUADFUTURE,29087,Quadrant Future Tek,14080000000.0,352.0
QUESS,17704,Quess Corp,45875879936.0,307.15
RACLGEAR,27171,RACL Geartech,15165007872.0,1284.2
RAILTEL,2431,Railtel Corporation of India,94323793920.0,293.9
RAIN,15337,Rain Industries,75610505216.0,224.8
RAINBOW,9408,Rainbow Childrens Medicare,151805149184.0,1497.4
RAJRATAN,18962,Rajratan Global Wire,25334728704.0,499.0
RALLIS,2816,Rallis,42647027712.0,219.3
RAMCOCEM,2043,Ramco Cements,217388990464.0,920.0
RAMCOIND,4587,Ramco Industries,28874819584.0,332.5
RAMCOSYS,7851,Ramco Systems,21980987392.0,584.85
RAMKY,20134,Ramky Infrastructure,25641240576.0,370.55
RANEHOLDIN,2844,Rane Holdings,24662061056.0,1727.3
RATEGAIN,7177,RateGain Travel,109409173504.0,924.1
RATNAMANI,13451,Ratnamani Metals & Tubes,166839992320.0,2380.3
RATNAVEER,18423,Ratnaveer Precision Engineering,13285362688.0,186.0
RAYMOND,2859,Raymond,39055708160.0,586.85
RAYMONDLSL,25073,Raymond Lifestyle,43304013824.0,711.0
RAYMONDREL,758551,Raymond Realty,43790843904.0,658.0
RBA,1494,Restaurant Brand Asia (Burger King),47685160960.0,67.0
RCF,2866,Rashtriya Chemicals & Fertilizers,70417473536.0,127.64
REDINGTON,14255,Redington,223978373120.0,286.5
REDTAPE,17859,Redtape,72533893120.0,131.21
REFEX,17764,Refex Industries,43361349632.0,316.0
RELAXO,24225,Relaxo Footwears,101691416576.0,408.5
RELIGARE,15068,Religare Enterprises,85461983232.0,250.45
RELTD,24596,Ravindra Energy,34376843264.0,173.14
RENUKA,12026,Shree Renuka Sugars,46443646976.0,21.82
RESPONIND,20323,Responsive Industries,46493863936.0,174.39
RGL,15129,Renaissance Jewellery,13027192832.0,121.3
RHETAN,759062,Rhetan TMT,23818594304.0,29.89
RHIM,31163,RHI Magnesita,81774567424.0,396.0
RICOAUTO,2909,Rico Auto Industries,19041361920.0,140.75
RIIL,2912,Reliance Industrial Infrastructure,11153615872.0,738.65
RISHABH,18417,Rishabh Instruments,23383681024.0,605.35
RITES,3761,RITES,105208971264.0,218.91
RKFORGE,11411,Ramkrishna Forgings,117353922560.0,644.2
RML,11975,Rane Madras,30746314752.0,1112.5
ROLEXRINGS,5279,Rolex Rings,37955063808.0,139.37
ROSSARI,19410,Rossari Biotech,28082046976.0,506.95
ROSSTECH,27353,Rossell Techsys,35397677056.0,935.45
ROUTE,128,Route Mobile,34494185472.0,547.5
RPEL,24735,Raghav Productivity Enhancers,59638837248.0,1298.7
RPGLIFE,16725,RPG Life Sciences,47796097024.0,2889.9
RPOWER,15259,Reliance Power,97810980864.0,23.65
RPSGVENT,8119,RPSG Ventures,31092951040.0,939.75
RPTECH,22670,Rashi Peripherals,51622498304.0,783.35
RRKABEL,18566,RR Kabel,290454929408.0,2568.0
RSL,761439,Rajputana Stainless,11774682112.0,140.9
RSYSTEMS,13414,R Systems International,31301029888.0,264.16
RTNINDIA,27297,Rattan India Enterprises,43636047872.0,31.6
RTNPOWER,17520,RattanIndia Power,45753303040.0,8.52
RUBICON,759316,Rubicon Research,252838592512.0,1531.5
RUPA,25724,Rupa & Company,12809838592.0,161.04
RUSTOMJEE,12219,Keystone Realtors,51365883904.0,406.9
SAATVIKGL,759057,Saatvik Green Energy,55869005824.0,439.55
SAFARI,13035,Safari Industries,78392885248.0,1600.0
SAGCEM,14068,Sagar Cements,22913034240.0,175.3
SAGILITY,27052,Sagility,210004410368.0,44.86
SAILIFE,27839,Sai Life Sciences,279337664512.0,1315.8
SAIPARENT,761675,Sai Parenteral's,24349384704.0,551.15
SAKAR,9539,Sakar Healthcare,18723272704.0,853.0
SAKSOFT,11794,Saksoft,21639340032.0,169.27
SALASAR,21362,Salasar Techno Engineering,10330386432.0,5.91
SALZERELEC,11399,Salzer Electronics,10138396672.0,573.35
SAMBHV,757767,Sambhv Steel Tubes,34187778048.0,116.02
SAMHI,18614,Samhi Hotels,40206389248.0,181.0
SANATHAN,28805,Sanathan Textiles,39585501184.0,469.0
SANDHAR,2397,Sandhar Technologies,35706449920.0,591.8
SANDUMA,18359,Sandur Manganese & Iron Ores,101522989056.0,208.85
SANGAMIND,4184,Sangam,29529300992.0,598.85
SANGHVIMOV,14058,Sanghvi Movers,37907300352.0,437.85
SANOFI,1442,Sanofi,78727872512.0,3418.4
SANOFICONR,25222,Sanofi Consumer Healthcare,109136429056.0,4732.0
SANSTAR,24582,Sanstar,22462103552.0,112.16
SAPPHIRE,6718,Sapphire Foods,61899800576.0,192.38
SARDAEN,17758,Sarda Energy & Minerals,184401117184.0,523.3
SAREGAMA,4892,Saregama India,101469782016.0,528.6
SASKEN,11983,Sasken Technologies,27246047232.0,1794.1
SBC,6792,SBC Exports,20076171264.0,42.16
SBCL,4656,Shivalik Bimetal Controls,42716393472.0,741.55
SBFC,18026,SBFC Finance,100003192832.0,90.37
SCHNEIDER,31234,Schneider Electric Infra,306029264896.0,1279.9
SCILAL,23127,SCI Land & Assets,19246815232.0,41.32
SDBL,1338,Som Distilleries & Breweries,14750597120.0,70.95
SEAMECLTD,2616,Seamec,36689154048.0,1438.0
SEDEMAC,761153,SEDEMAC Mechatronics,117224087552.0,2653.9
SENCO,17271,Senco Gold,67730898944.0,413.4
SENORES,28888,Senores Pharmaceuticals,60979556352.0,1324.1
SEPC,15308,SEPC,11634169856.0,5.98
SERVOTECH,5507,Servotech Renewable  Power,20935829504.0,92.7
SETL,29075,Standard Engineering Technology,53067571200.0,262.8
SFL,19184,Sheela Foam,86363439104.0,790.85
SGFIN,758853,SG Finserv,45029347328.0,683.35
SGMART,758889,SG Mart,89484992512.0,710.0
SHADOWFAX,761469,Shadowfax Technologies,126499299328.0,216.12
SHAKTIPUMP,25574,Shakti Pumps,64777764864.0,524.95
SHALBY,714,Shalby,17457506304.0,162.7
SHANTIGOLD,758002,Shanti Gold International,16103362560.0,223.36
SHARDACROP,4992,Sharda Cropchem,74341687296.0,824.0
SHILCTECH,759847,Shilchar Technologies,52258832384.0,4568.0
SHILPAMED,17752,Shilpa Medicare,118483468288.0,605.8
SHK,11212,SH Kelkar & Company,22451853312.0,162.2
SHOPERSTOP,11813,Shoppers Stop,42985717760.0,390.05
SHREEJISPG,759448,Shreeji Shipping Global,101807620096.0,624.9
SHRINGARMS,759093,Shringar House of Mangalsutra,21216020480.0,220.01
SHRIPISTON,17186, SPR Auto Technologies,192497729536.0,4370.0
SHRIRAMPPS,7200,Shriram Properties,14732594176.0,86.33
SHYAMMETL,4693,Shyam Metalics & Energy,287525273600.0,1033.05
SIGNATURE,18743,Signatureglobal,115496198144.0,820.95
SIGNPOST,22656,Signpost India,16489324544.0,308.5
SILVERTUC,9422,Silver Touch Technologies,26476658688.0,208.79
SIMPLEXINF,3162,Simplex Infrastructures,18587406336.0,235.0
SINDHUTRAD,16859,Sindhu Trade Links,38471127040.0,24.95
SIRCA,11050,Sirca Paints,22932547584.0,402.8
SIS,21501,SIS,60801712128.0,430.3
SIYSIL,14096,Siyaram Silk Mills,28068206592.0,618.65
SJS,6643,SJS Enterprises,75192901632.0,2349.4
SJVN,18883,SJVN,271313059840.0,69.04
SKFINDIA,3186,SKF India,73118752768.0,1479.0
SKFINDUS,760101,SKF India Industrial,131865886720.0,2667.3
SKIPPER,9428,Skipper,59613327360.0,528.0
SKMEGGPROD,4732,SKM Egg Products Export,14230590464.0,269.9
SKYGOLD,13631,Sky Gold And Diamonds,101372698624.0,654.55
SMARTWORKS,757965,Smartworks Coworking Spaces,55428534272.0,485.1
SMCGLOBAL,2320,SMC Global Securities,16835760128.0,80.4
SMLMAH,3387,SML Mahindra,66077536256.0,4566.0
SMSPHARMA,14329,SMS Pharmaceuticals,37025333248.0,395.35
SOBHA,13826,Sobha,146034769920.0,1365.4
SOLARA,3672,Solara Active Pharma Sciences,24383535104.0,505.4
SOLARWORLD,759929,Solarworld Energy Solutions,16998241280.0,196.12
SOMANYCERA,3880,Somany Ceramics,19852249088.0,484.05
SONATSOFTW,6596,Sonata Software,87965278208.0,317.8
SOUTHBANK,5948,South Indian Bank,122190749696.0,46.67
SPAL,18252,SP Apparels,25252009984.0,1004.5
SPANDANA,11435,Spandana Sphoorty Financial,23777546240.0,268.25
SPARC,14788,Sun Pharma Advanced Research Co,69324300288.0,213.62
SPIC,3252,Southern Petrochemical Industries,13595029504.0,66.76
SPLPETRO,9617,Supreme Petrochem,138680483840.0,737.5
SPMLINFRA,3321,SPML Infra,16528727040.0,196.42
SRM,23402,SRM Contractors,11700306944.0,509.85
SSWL,11829,Steel Strips Wheels,46537838592.0,295.85
STALLION,29204,Stallion India Fluorochemicals,28617455616.0,246.52
STAR,7374,Strides Pharma Science,97481859072.0,1057.6
STARCEMENT,21091,Star Cement,82089041920.0,203.1
STARHEALTH,7083,Star Health Insurance,349923573760.0,594.7
STEELCAS,6803,Steelcast,30901420032.0,305.35
STEELXIND,21339,Steel Exchange India,14413359104.0,11.3
STEL,21484,STEL Holdings,10295346176.0,557.85
STOVEKRAFT,2107,Stove Kraft,26624907264.0,804.2
STUDDS,759587,Studds Accessories,17396170752.0,442.05
STYL,759934,Seshaasai Technologies,57060823040.0,352.65
STYLAMIND,5186,Stylam Industries,57318830080.0,3379.9
STYRENIX,19,Styrenix Performance Materials,43482226688.0,2471.1
SUBROS,3324,Subros,51422081024.0,788.25
SUDARSCHEM,3327,Sudarshan Chemical Industries,81605722112.0,1025.1
SUDEEPPHRM,760039,Sudeep Pharma,99643277312.0,882.2
SULA,13218,Sula Vineyards,14045263872.0,166.32
SUMEETINDS,20790,Sumeet Industries,15087690752.0,24.69
SUMICHEM,17105,Sumitomo Chemical,250870644736.0,502.6
